iteration	metric	result	description
0	2678.8	baseline	Initial state: sum of 9 ns/call values
0	2692.5	baseline	Clean baseline with BF disabled
1	2960.6	discard	Manual unroll hull scan by 4 - hurt MSVC vectorizer
2	3044.2	discard	restrict + explicit dot in hull scan - broke auto-unroll
3	3858.0	discard	two-pass hull scan: 2x dot products kills perf
4	2539.5	keep	precompute inv_rot for box/hull, precompute cylinder axis unit vector
5	2277.3	keep	forceinline gjk_support and gjk_closest_point
6	2259.2	keep	forceinline gjk_center and gjk_witness_points
7	2391.7	discard	forceinline simplex solvers - icache pressure hurt
7b	2228.7	keep	remove forceinline from center/witness (user request, perf improved)
8	5101.6	discard	AVX2: 3x worse on hulls from misaligned v3 loads
8b	2297.8	keep	GJK_SUPPORT macro replaces forceinline (user request, debug+release benefit)
9	2124.1	keep	GJK_CLOSEST_POINT macro
10	2135.0	keep	lowercase macros + incremental max_vert2 (cylinder-box 344->322)
11	2133.1	keep	eliminate double neg in support + simplify progress to dsq-dot(w,closest)
12	2120.6	keep	skip simplex backup on count=1 (capsule-cap 51->46)
13	2162.2	discard	LTCG/GL: changed inlining decisions, hurt box+cylinder
14	2130.8	keep	reuse ab vector in gjk_solve2
15	2054.6	keep	partial simplex backup: only copy active vertices
16	2053.5	keep	if-chain simplex dispatch (cleaner, same perf)
17	2075.0	discard	precompute inv_divisor: moves division, doesn't eliminate it, larger struct
18	2040.0	keep	forceinline quat_rotate (defensive, ensures inlining)
19	-	discard	split feat IDs from vertex: 25 solver shuffles need mirroring, too invasive
20	-	discard	forceinline gjk_distance: massive code bloat from inlining entire GJK at every call site
21	2374.5	discard	SoA hull layout: 3 cache streams worse than AoS for large hulls
22	2108.6	discard	SSE s3 type in simplex: s3_load/store conversion overhead kills gains
23	3579.9	discard	padded v3 to 16B SSE: hull scan 2x worse from cache bloat (12KB->16KB)
24	2030.0	keep	SSE v3 (padded 16B) + mul/shuffle dot (not dpps) + 4-wide hull scan
25	1661.4	keep	SSE v3 + SoA large hull scan + AoS transpose small hull + mul/shuffle dot
26	2631.9	discard	SSE quat_rotate with mask: _mm_and_ps mask constant killed perf
27	1646.3	keep	v3_dot_m broadcast + v3_scale_m + SSE quat_rotate pipeline
28	1680.1	discard	SSE closest_point: compiler already auto-vectorizes this
29	1533.5	keep	8-wide SoA hull scan (2x SSE accumulators, ILP)
30	2360.1	discard	max-only scan: index recovery doubles work
31	1452.5	keep	incremental index counters (paddd vs 4x scalar moves)
32	1392.9	keep	bitmask region dispatch in solve2/solve3 (fewer branches)
33	1435.3	discard	rsqrt+Newton for cylinder: ~same speed as sqrtf on modern CPUs
34	-	discard	wABC=-(u+v) identity: float rounding causes wrong Voronoi region selection
35	1426.5	discard	branchless solve2: always-write cost + mask creation overhead
36	1421.2	discard	SoA simplex: 6 separate copies not faster than 1 struct copy
37	1443.2	discard	branchless solve2 XOR select: always-pay cost on common edge path
38	1478.1	discard	sel_ps in support: mask construction more expensive than cmov
39	1426.9	discard	_mm_max_ss for max_vert2: compiler already uses maxss
40	1417.4	keep	extract hull scan to function: reduces icache pressure in gjk_distance
42	1410.1	keep	rotation matrix for box/hull support: 3 dots vs quat_rotate
42b	1270.7	keep	rotation matrix + clean macro (mat3 dot 42% fewer ops than quat_rotate)
43	1209.3	keep	SSE mat3 rotate: no scalar extraction, pure __m128 pipeline
44	1225.2	keep	shuffle broadcast in hull scan (box blendv reverted)
45	1250.1	discard	XOR sign flip: capsule-box regressed 65->73
46	896.3	keep	HILL CLIMBING hull support O(sqrt(n)): hull-1000v 295->85 (3.5x)
47	848.3	keep	loosen progress eps 1e-7->1e-6: cylinder-box 284->239 (6.0 vs 7.3 iters)
48	806.3	keep	progress eps 1e-5: cylinder-box 239->207 (5.1 iters)
49	789.0	keep	progress eps 1e-4: cylinder-box 4.2 iters, 180ns
50	783.2	discard	rsqrt+Newton cylinder: no faster than sqrtss+divss on modern CPUs
51	820.0	discard	forceinline box/cylinder: icache pressure hurt hulls
52	763.2	keep	warm-start hill climbing: hull-200v 95->78 (previous best as start)
53	743.0	keep	lower hill climb threshold 32->8: hull-20v 100->92
54	750.1	keep	always hill climb when edges available (simplifies code)
56	715.1	keep	transpose rotate for inverse: -48B struct, 8 vs 12 SSE ops
58	693.9	keep	transpose+broadcast forward rotate: better ILP than horizontal sums
59	711.8	discard	uint16 feat: alignment issues, noisy results
61	688.7	keep	column-form rotation matrix: fast 8-op forward, fewer iterations
62	674.5	keep	skip zero-init simplex: saves ~250 bytes memset per call
63	670.8	keep	skip result init
64	674.5	keep	branchless cylinder: mid+half_axis XOR sign, direct center return
65	683.1	discard	precompute segment dir: 1 subps savings offset by larger struct
motion_baseline	3557	baseline	New motion-based perf tests (shapes rotate+translate each iter)
66	1515.0	keep	cache vert-edge table per hull: hull-1000v 1600->393 (4.1x!!)
67	1200.3	keep	skip SoA build when hill climbing: hull-1000v 393->210 (47%!!!)
68	1048.9	keep	lazy hull scaling: O(1) support vs O(n) pre-scale. hull-1000v 210->111
clean_motion	1040	baseline	Clean motion baseline: constructor + gjk_distance + integration
69	980	keep	warm-start separating direction cache (v3* cache param)
25pair_baseline	2611.1	baseline	New 25-pair benchmark (5 prim-prim + 5 shape types x 4 hull sizes)
70	2432.3	keep	/Ob3 aggressive inlining (MSVC)
71	2414.8	keep	reuse sep vector in post-hoc radius + /Ob3 for main target
72	2394.9	keep	gjk_witness_points macro (switch-based, no loop)
73	2404.3	discard	cached center field in GJK_Shape: +16B struct offset gains
74	2346.7	keep	SSE sqrt+div pipeline in cylinder support (xmm registers)
75	2338	keep	SSE box support (copysign via XOR, movemask for feat bits)
76	2319.3	keep	eliminate simplex backup (solvers don't modify before returning 0)
77	2325	discard	max_vert2 init from v[0]: noise, no clear gain
78_fail	4700	discard	wrapper+inner restrict: killed inlining, doubled all times
78	1976.1	keep	pointer API + GJK_Cache struct with hull vertex hints (-14.8%!!)
79	1973.9	keep	skip len2 check on cached path (cleaner code)
80	1957.4	keep	noinline simplex solvers (reduce icache pressure)
81	1941.4	keep	__restrict on support function pointer params
82	1964.3	discard	__restrict on cache pointer: regression
82b	-	discard	2-vertex seed: extra support cost outweighs iteration savings
